,submit_form_code,site,location,microsite,overall_sample_number,samplenumber,what,what_where,collection_date,collection_date_value,collection_time,life_stage_cohort,life_stage,bird_name,bird_id,cohousing_status,cohousing_id,cohort,cohort_actual,age_1,age_2,average_age,age_bin,weight,weight_bin,sample_freshness,coccidiosis_treatment_history,coccidiosis_treatment,eryvac_vaccination_dose_1_date,eryvac_vaccination_dose_1_date_value,eryvac_vaccination_dosage_1,eryvac_vaccination_dose_2_date,eryvac_vaccination_dose_2_date_value,eryvac_vaccination_dosage_2,medical_history,antiobiotics_history_med_1,antiobiotics_history_med_2,antiobiotics_history_med_3,antibiotics_history,antibiotics_status_on_collection,antifungal_history_med_1,antifungal_history_med_2,antifungal_history,antifungal_status_on_collection,cohort_bird_name
AG0699_rowi_332,AG0699_rowi_332,WCWC,wcwc_brooder_feeders,brooder_feeder_18,332,332,kiwi_poo,kiwi_poo_wcwc,26/01/2021,44222,NA,Control - Hatchery,Hatchery,Cecil,R.EA2021.2,negative,NA,WCWC,Control,8,NA,8,<20,244,1,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Cecil
AG0699_rowi_333,AG0699_rowi_333,WCWC,wcwc_brooder_feeders,brooder_feeder_13,333,333,kiwi_poo,kiwi_poo_wcwc,12/01/2021,44208,1605,Control - Hatchery,Hatchery,Bobby,R.DG2021.2,negative,NA,WCWC,Control,22,NA,22,<30,283,1,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Bobby
AG0699_rowi_334,AG0699_rowi_334,WCWC,wcwc_hatchery,hatchery_SA_6,334,334,kiwi_poo,kiwi_poo_wcwc,26/01/2021,44222,1545,Control - Hatchery,Hatchery,Ducky,R.FW2021.2,negative,NA,WCWC,Control,2,NA,2,<20,295.2,1,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Ducky
AG0699_rowi_336,AG0699_rowi_336,WCWC,wcwc_nocturnal_house,nocturnal_house_nest_box_4,336,336,kiwi_poo,kiwi_poo_wcwc,3/02/2021,44230,820,Control - Late,Late,Ferris_Benji,R.FK2021.1 / R.EA2021.1.1,positive,wcwc2,WCWC,Control,117,116,116.5,<120,1000,8,3,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Ferris_Benji
AG0699_rowi_338,AG0699_rowi_338,WCWC,wcwc_hatchery,hatchery_SA_6,338,338,kiwi_poo,kiwi_poo_wcwc,14/02/2021,44241,1340,Control - Hatchery,Hatchery,Moonlight,R.EO2021.2,negative,NA,WCWC,Control,0,NA,0,<20,290.8,1,1,negative,NA,10/03/2021,44265,0.5,24/06/2021,44371,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Moonlight
AG0699_rowi_339,AG0699_rowi_339,WCWC,wcwc_brooder_adjusters,brooder_adjuster_11,339,339,kiwi_poo,kiwi_poo_wcwc,18/02/2021,44245,855,Control - Hatchery,Hatchery,Moonlight,R.EO2021.2,negative,NA,WCWC,Control,4,NA,4,<20,247,1,3,negative,NA,10/03/2021,44265,0.5,24/06/2021,44371,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Moonlight
AG0699_rowi_340,AG0699_rowi_340,WCWC,wcwc_brooder_feeders,brooder_feeder_11,340,340,kiwi_poo,kiwi_poo_wcwc,21/02/2021,44248,1347,Control - Hatchery,Hatchery,Moonlight,R.EO2021.2,negative,NA,WCWC,Control,7,NA,7,<20,292,1,1,negative,NA,10/03/2021,44265,0.5,24/06/2021,44371,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Moonlight
AG0699_rowi_341,AG0699_rowi_341,WCWC,wcwc_brooder_feeders,brooder_feeder_11,341,341,kiwi_poo,kiwi_poo_wcwc,25/02/2021,44252,930,Control - Hatchery,Hatchery,Moonlight,R.EO2021.2,negative,NA,WCWC,Control,11,NA,11,<20,238,1,3,negative,NA,10/03/2021,44265,0.5,24/06/2021,44371,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Moonlight
AG0699_rowi_342,AG0699_rowi_342,WCWC,wcwc_brooder_feeders,brooder_feeder_12,342,342,kiwi_poo,kiwi_poo_wcwc,26/02/2021,44253,840,Control - Hatchery,Hatchery,Rohi,R.DZ2021.2,negative,NA,WCWC,Control,37,NA,37,<40,501,3,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Rohi
AG0699_rowi_343,AG0699_rowi_343,WCWC,wcwc_brooder_feeders,brooder_feeder_4,343,343,kiwi_poo,kiwi_poo_wcwc,26/02/2021,44253,840,Control - Hatchery,Hatchery,Cecil,R.EA2021.2,negative,NA,WCWC,Control,39,NA,39,<40,532,3,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Cecil
AG0699_rowi_344,AG0699_rowi_344,WCWC,wcwc_nocturnal_house,nocturnal_house_unknown,344,344,kiwi_poo,kiwi_poo_wcwc,27/02/2021,44254,935,Control - Late,Late,Ferris_Benji,R.FK2021.1 / R.EA2021.1.1,positive,wcwc2,WCWC,Control,141,140,140.5,<150,1000,8,3,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Ferris_Benji
